season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
11_12,18,107,0,wasps,15,32,northampton,-5.823529412,6.529411765,5,10,-17,0,0
11_12,18,108,0,leicester,41,32,irish,4.941176471,-1.176470588,10,6,9,1,0
11_12,18,103,1,sale,9,45,saracens,-2.588235294,4.411764706,8,12,-36,0,0
11_12,18,104,1,worcester,19,9,newcastle,-3.764705882,-10.47058824,6,3,10,1,0
11_12,18,105,1,harlequins,14,6,bath,6.117647059,0.470588235,13,8,8,1,0
11_12,18,106,1,gloucester,27,28,exeter,0,1.352941176,8,9,-1,0,0
11_12,18,107,1,northampton,32,15,wasps,6.529411765,-5.823529412,10,5,17,1,0
11_12,18,108,1,irish,32,41,leicester,-1.176470588,4.941176471,6,10,-9,0,0
11_12,19,109,0,worcester,13,43,leicester,-3,5.166666667,7,11,-30,0,0
11_12,19,110,0,sale,19,22,newcastle,-4.444444444,-10.44444444,8,3,-3,0,0
11_12,19,111,0,irish,11,18,exeter,-1.611111111,1.333333333,6,10,-7,0,0
11_12,19,112,0,harlequins,24,19,saracens,6.222222222,6.166666667,14,13,5,1,0
11_12,19,113,0,northampton,26,6,bath,7.111111111,0,11,8,20,1,0
11_12,19,114,0,gloucester,24,26,wasps,-0.055555556,-6.444444444,8,5,-2,0,0
11_12,19,109,1,leicester,43,13,worcester,5.166666667,-3,11,7,30,1,0
11_12,19,110,1,newcastle,22,19,sale,-10.44444444,-4.444444444,3,8,3,1,0
11_12,19,111,1,exeter,18,11,irish,1.333333333,-1.611111111,10,6,7,1,0
11_12,19,112,1,saracens,19,24,harlequins,6.166666667,6.222222222,13,14,-5,0,0
11_12,19,113,1,bath,6,26,northampton,0,7.111111111,8,11,-20,0,0
11_12,19,114,1,wasps,26,24,gloucester,-6.444444444,-0.055555556,5,8,2,1,0
11_12,20,115,0,bath,9,16,sale,-1.052631579,-4.368421053,8,8,-7,0,0
11_12,20,116,0,leicester,35,21,northampton,6.473684211,7.789473684,12,12,14,1,0
11_12,20,117,0,newcastle,29,20,gloucester,-9.736842105,-0.157894737,4,8,9,1,0
11_12,20,118,0,saracens,28,19,irish,5.578947368,-1.894736842,13,6,9,1,0
11_12,20,119,0,exeter,31,26,worcester,1.631578947,-4.421052632,11,7,5,1,0
11_12,20,120,0,wasps,17,33,harlequins,-6,6.157894737,6,15,-16,0,0
11_12,20,115,1,sale,16,9,bath,-4.368421053,-1.052631579,8,8,7,1,0
11_12,20,116,1,northampton,21,35,leicester,7.789473684,6.473684211,12,12,-14,0,0
11_12,20,117,1,gloucester,20,29,newcastle,-0.157894737,-9.736842105,8,4,-9,0,0
11_12,20,118,1,irish,19,28,saracens,-1.894736842,5.578947368,6,13,-9,0,0
11_12,20,119,1,worcester,26,31,exeter,-4.421052632,1.631578947,7,11,-5,0,0
11_12,20,120,1,harlequins,33,17,wasps,6.157894737,-6,15,6,16,1,0
11_12,21,121,0,saracens,9,3,newcastle,5.75,-8.8,14,5,6,1,0
11_12,21,122,0,wasps,12,17,bath,-6.5,-1.35,6,8,-5,0,0
11_12,21,123,0,sale,24,19,gloucester,-3.8,-0.6,9,8,5,1,0
11_12,21,124,0,irish,25,16,worcester,-2.25,-4.45,6,7,9,1,0
11_12,21,125,0,leicester,43,33,harlequins,6.85,6.65,13,16,10,1,0
11_12,21,126,0,northampton,18,15,exeter,6.7,1.8,12,12,3,1,0
11_12,21,121,1,newcastle,3,9,saracens,-8.8,5.75,5,14,-6,0,0
11_12,21,122,1,bath,17,12,wasps,-1.35,-6.5,8,6,5,1,0
11_12,21,123,1,gloucester,19,24,sale,-0.6,-3.8,8,9,-5,0,0
11_12,21,124,1,worcester,16,25,irish,-4.45,-2.25,7,6,-9,0,0
11_12,21,125,1,harlequins,33,43,leicester,6.65,6.85,16,13,-10,0,0
11_12,21,126,1,exeter,15,18,northampton,1.8,6.7,12,12,-3,0,0
